VISUALIZATION;SAMPLING;DATA CLEANSING & PREP;NEW FEATURES;SPLITTING;ADDITIONAL MODELS;TRAINING;HYPERPARAMETER TUNING;CALIBRATION;MODEL VALIDATION;TESTING;PERFORMANCE MEASUREMENT;PIPELINE DEVELOPMENT;TOTAL CFP;y;Number of data sources;Number of data sets;Number of rows;Number of columns;Number of new features;Machine Learning;Natural Language Processing;Computer Vision;Audio Processing;Other;Federated Learning;Few shot Learning;Active Learning;Transfer Learning;Ensemble Learning;Deep Learning;Text classification;Information retrieval;Information extraction;Syntactic analysis (parsing);Machine translation;Early image processing operations;Object recognition by appearance;Reconstructing the 3D world;Object recognition from structural inf;Speech recognition;Explanatory Model;Resampling (cross validation/bootstrap);Regularization (shrinkage);Automated machine learning;Real-time scoring;Content-based filtering;Collaborative filtering;Survival analysis;Network analysis;Text Mining;Time Series Analysis;Flat File;RDBMS;Hadoop;Spark;Github;Jupyter;Python;SQL;R;Scala;MapReduce;C;C++;Java;Java Script;Other_1;Baseline model;Explainer model;Association analysis;Clustering;Dimensionality Reduction;Pattern recognition;Sequence analysis;Anomaly detection;Single misclassification cost;Class based misclassification cost;Heteregeneous misclassification cost;Metaheuristic usage;Heuristic algorithm development;Linear Regression;Logistics Regression;Polynomial Regression;Other Regression;Decision Trees;Random Forest;Gradient Boosting;XGBoost;Ada Boost;Naive Bayes;Nearest Neighboor;Support Vector Machines;Artificial Neural Networks;Other Algorithms;Balanced dataset;Imbalanced dataset;Rare event dataset;Oversampling;Undersampling;Random Sampling;Stratified sampling;No sampling;Missing value imputation;Missing value imputation with model;Outlier detection & removal;Scaling (Min-max and normalization);Binning;Basic transformations;Smoothing;Trimming/Clipping;Text Preprocessing;Basic aggregations;Extended aggregations;Linearization;Composite features;Variable grouping;Dummy variables;Feature extraction from unstructured data;Advanced feature engineering;Train/Test;Complex Splitting;Basic visualization;Basic with profiling;Extended visualization;Extended + storytelling;Minimum PM;Basic PM;Intermediate PM;Extended PM;Extended & automated PM;Conversion to probabilities;Calibration for undersampling;Basic validation;Extended validation;Regulator defined validation;Grid Search;Random Search;Optimization methods;Anonymization;Pseudomization;K Anonimity;Differential privacy;Secure multiparty computation;Encryption;Permutation Feature Importance;SHAPley values;LIME;Partial Dependence Plots (PDPs);Individual Conditional Expectation (ICE) Plots
2;0;2;0;0;0;10;0;0;3;4;2;4;27;10;1;1;5,000;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;2;0;0;0;10;0;0;3;4;2;4;27;10;1;1;5,000;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;2;0;0;0;10;0;0;3;4;2;4;27;10;1;1;5,000;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;2;0;0;0;10;0;0;3;4;2;4;27;10;1;1;5,000;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;3;2;0;0;0;10;0;0;3;4;2;4;28;12;1;1;50;15;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;3;2;0;0;0;10;0;0;3;4;2;4;28;12;1;1;50;15;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;3;2;0;0;0;10;0;0;3;4;2;4;28;12;1;1;50;15;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;3;2;0;0;0;10;0;0;3;4;2;4;28;12;1;1;50;15;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;3;2;0;0;0;10;0;0;3;4;2;4;28;12;1;1;50;15;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;3;0;10;0;0;3;4;2;4;28;30;1;1;100;13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
